title,network,country,classification,start_date,seasons,status,rating,votes,cast,description,tv_comedies,crime_tv_shows,tv_dramas,docuseries,teen_tv_shows,tv_horror,kids_tv,romantic_tv_shows,science_nature_tv,british_tv_shows,tv_action_adventure,anime_series,reality_tv,tv_mysteries,tv_scifi_fantasy
Two Sentence Horror Stories,The CW,US,TV-14,2019-08-08,1,Running,5.6,898,"Nicole Kang, Jim Parrack, Tara Pacheco, Christopher Shyer, Kimberley Wong, Wai Ching Ho, Greta Quispe, Zaria Degenhardt, Uly Schlesinger, Kate Jennings Grant, Aleyse Shannon, Guillermo Arribas, Jaiden Smith, Pepper Binkley, Mikelle Wright-Matos, Melinda Mo",This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chef's Table: France,Netflix,US,TV-14,2016-09-02,1,Ended,8.3,1486,Unknown,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Transformers: Rescue Bots,Discovery Family,US,TV-Y7,2011-12-11,1,Ended,6.5,733,"Lacey Chabert, Elan Garfias, Maurice LaMarche, Jason Marsden, Shannon McKain, Steve Blum, Parvesh Cheena, D.C. Douglas, Imari Williams, LeVar Burton, Diamond White","Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Manhunt,Spectrum On Demand,US,TV-14,2017-08-01,1,Running,7.4,3555,"Sam Worthington, Paul Bettany, Chris Noth, Jeremy Bobb, Ben Weber, Lynn Collins, Brían F. O'Byrne, Keisha Castle-Hughes, Mark Duplass, Elizabeth Reaser, Diesel Madkins","Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber.",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Ancient Aliens,History,US,TV-PG,2010-04-20,1,Running,7.3,9270,Robert Clotworthy,"Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
The Last Kids on Earth,Netflix,US,TV-Y7-FV,2019-09-17,1,Running,7.5,710,"Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David","When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
America's Book of Secrets,H2,US,TV-14,2012-01-21,1,Ended,6.8,660,Jonathan Adams,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cold Case Files,A&E,US,TV-14,2017-02-27,1,Running,8.0,1397,Unknown,Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Curse of Oak Island,History,US,TV-PG,2014-01-05,1,Running,7.1,4008,Robert Clotworthy,"On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Rap Game,Lifetime,US,TV-14,2016-01-01,1,Running,5.4,114,Jermaine Dupri,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Universe,H2,US,TV-PG,2007-05-29,1,Ended,8.8,5024,Erik Thompson,"Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Al Hayba,MBC1,SA,TV-14,2017-05-27,1,Running,7.5,786,"Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef","In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Five,Sky 1,GB,TV-MA,2016-04-15,1,Ended,6.4,860,"Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta","Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police.",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Norm Macdonald Has a Show,Netflix,US,TV-MA,2018-09-14,1,Ended,8.7,2820,Unknown,Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marianne,Netflix,NL,TV-MA,2019-09-13,1,Ended,7.5,11037,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat","Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Monarca,Netflix,US,TV-MA,2019-09-13,1,Running,8.0,1281,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Top Boy,Netflix,UK,TV-MA,2019-09-13,1,To Be Determined,8.4,12185,"Ashley Walters, Kane Robinson, Micheal Ward, Shone Romulus, Simbiatu Ajikawo, Lisa Dwan, David Omoregie, Jasmine Jobson, Hope Ikpoku Jr., Araloyin Oshunremi, Keiyon Cook","Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The I-Land,Netflix,US,TV-MA,2019-09-12,1,Ended,4.5,14068,"Natalie Martinez, Kate Bosworth, Ronald Peet, Kyle Schmid, Alex Pettyfer, Sibylla Deen, Gilles Geary, Anthony Lee Medina, Kota Eberhardt, Michelle Veintimilla, Bruce McGill","Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities – and the island that traps them.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Life,NBC,US,TV-MA,2007-09-26,1,Ended,8.3,32322,"Lee Dong-wook, Cho Seung-woo, Won Jin-ah, Lee Kyu-hyung, Moon Sung-keun, Yoo Jae-myung, Moon So-ri, Chun Ho-jin","At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Serial Killer with Piers Morgan,ITV,GB,TV-14,2017-11-16,1,To Be Determined,3.8,1148,Piers Morgan,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Transformers: Cyberverse,Cartoon Network,US,TV-Y7,2018-09-01,1,Running,6.9,220,"Sophia Isabella, Jeremy Levy, Jacob Tillman, Ryan Andes, Deanna McGovern, Dick Terhune",Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sisters,Network 10,AU,TV-MA,2017-10-25,1,Ended,7.5,1785,"Lucy Durack, Antonia Prebble, Maria Angelico, Dan Spielman, Charlie Garber, Lindsay Farris, Zindzi Okenyo, Catherine McClements, Roy Billing, Magda Szubanski",Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Conspiracy,Channel 5,UK,TV-14,2015-06-12,1,Ended,6.2,246,Mark Bazeley,"Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
