title,network,country,classification,start_date,seasons,status,rating,votes,cast,description,tv_comedies,crime_tv_shows,tv_dramas,docuseries,teen_tv_shows,tv_horror,kids_tv,romantic_tv_shows,science_nature_tv,british_tv_shows,tv_action_adventure,anime_series,reality_tv,tv_mysteries,tv_scifi_fantasy
Fake or Fortune?,BBC One,UK,TV-G,2011-06-19,1,To Be Determined,8.6,460,"Fiona Bruce, Philip Mould, Bendor Grosvenor",Fiona Bruce and Philip Mould use investigative skills and scientific techniques to determine if paintings are real or just impressive forgeries.,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Dark Tourist,Netflix,US,TV-MA,2018-07-20,1,To Be Determined,7.5,5707,Unknown,"From a nuclear lake to a haunted forest, journalist David Farrier visits unusual – and often macabre – tourism spots around the world.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Typewriter,Netflix,KR,TV-MA,2019-07-19,1,Running,6.5,3251,"Aarna Sharma, Aaryansh Malviya, Mikail Gandhi, Palash Kamble, Jishu Sengupta, Palomi Ghosh, Purab Kohli, Sameer Kochhar, Sara Gesawat","Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home’s buried past resurfaces in chilling ways.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Angel Beats!,TBS,JP,TV-14,2010-04-03,1,Ended,7.7,11192,"Hiroshi Kamiya, Harumi Sakurai, Kana Hanazawa, Eri Kitamura, Ryohei Kimura, Takahiro Mizushima, Shun Takagi, Fuko Saito, Yui Makino, Hiro Masuda, Michael Rivas, Eiichiro Tokumoto, Yumiko Kobayashi, Hiroki Touchi, Miyuki Sawashiro, Chie Matsuura, Kana Asumi, Emiri Kato","In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
God Eater,Tokyo MX,JP,TV-MA,2015-07-12,1,Ended,7.0,1446,"Ryuichi Kijima, Hiroaki Hirata, Kazuya Nakai, Sayaka Ohara, Daisuke Sakaguchi, Maaya Sakamoto",An enemy immune to conventional arms has caused the collapse of civilization and humanity's only hope lies in a new living weapon: the God Arc.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Meteor Garden,Hunan TV,TW,TV-PG,2018-07-09,1,Ended,8.1,2527,"Shen Yue, Dylan Wang, Darren Chen, Connor Liang, Caesar Wu","Dong Shancai is determined to excel at her dream university, where she encounters an elite clique of dashing, popular high-achievers – and finds love.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Blown Away,Makeful,CA,TV-PG,2019-02-20,1,To Be Determined,6.9,1461,Unknown,"Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Money for Nothing,BBC One,UK,TV-PG,2015-09-07,1,Running,6.3,14,Unknown,"Aided by designers and craftspeople, entrepreneur Sarah Moore rescues items bound for the garbage dump and turns them into valuable, unique objects.",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Record of Grancrest War,BS11,JP,TV-MA,2018-01-05,1,Ended,7.3,497,"Kentaro Kumagai, Akari Kito, Yuichi Nakamura, Reina Ueda, Satoshi Hino, Yoshitsugu Matsuoka, Natsumi Takamori, Ai Kayano, Takahiro Sakurai, Wataru Hatano, Yuichi Iguchi, Minori Suzuki, Megumi Nakajima, Yuhko Kaida, Chika Anzai, Yumi Uchiyama, Kaede Hondo, Satoshi Mikami, Ayane Sakura, Ari Ozawa, Tatsuhisa Suzuki, Hiro Shimono","Lone mage Siluca wanders the land of Atlatan, disgusted by its greedy nobility. When she meets knight errant Theo, she sees a chance to create peace.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Oath,Crackle,US,TV-PG,2018-03-08,1,Ended,6.5,1582,"Christopher Lee, Jesseca Liu, Ann Kok, Kate Pang, Zhang Zhenhuan, Richard Low","Two doctors with opposite approaches to treating patients clash on the job and must learn to trust each other's expertise, allowing love to bloom.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Happyish,Showtime,US,TV-MA,2015-04-26,1,Ended,7.3,2783,"Steve Coogan, Kathryn Hahn, Sawyer Shipman, Bradley Whitford","A middle-aged adman is shaken up by his new boss, a 25-year-old who advises him to ""rebrand"" himself. Is it possible, or is this as good as he'll get?",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Limitless,CBS,US,TV-14,2015-09-22,1,Ended,7.7,61135,"Jake McDorman, Jennifer Carpenter, Hill Harper, Mary Elizabeth Mastrantonio, Ron Rifkin, Blair Brown, Bradley Cooper",A failed musician unleashes his brain's full powers with a new drug and is hired to solve the FBI's hardest cases in this show based on the 2011 film.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Cheer,Country Music Television,US,TV-MA,Sep/07/2012,1,Canceled/Ended,8.2,3765,Unknown,This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title.,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Dracula,NBC,UK,TV-14,2013-10-25,1,Ended,7.4,27876,"Claes Bang, Dolly Wells, John Heffernan",The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes – and bring his vulnerability into the light.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Dirty Money,Netflix,US,TV-14,2018-01-26,1,To Be Determined,8.1,7546,Unknown,"From crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Black Earth Rising,BBC Two,GB,TV-MA,2018-09-10,1,Ended,7.4,3674,"Michaela Coel, John Goodman, Abena Ayivor, Noma Dumezweni, Ronald Guttman, Danny Sapani, Harriet Walter, Tyrone Huggins, Emmanuel Imani, Lucian Msamati, Tamara Tunie","Adopted by a human rights attorney after the Rwandan genocide, legal investigator Kate Ashby confronts her past when she takes on war crimes cases.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Kingdom,Audience Network,US,TV-MA,2014-10-08,1,Ended,8.5,13417,"Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jeon Seok-ho, Kim Hye-jun, Heo Jun-ho, Jung Suk-won, Kim Jong-soo","While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Perfect Match,SET TV,TW,TV-14,2017-03-03,1,Ended,8.1,88,"Wu Kang-jen, Ivy Shao, Ben Wu, Xiao Man, Nylon Chen","A night market vendor clashes with a lofty celebrity chef in a culinary challenge, fueling the first sparks of a romance.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tiempos de guerra,Antena 3,ES,TV-MA,2017-09-20,1,Ended,7.7,2330,"Amaia Salamanca, Álex García, Alicia Borrachero, José Sacristán, Verónica Sánchez, Álex Gadea, Anna Moliner, Cristóbal Suárez, Silvia Alonso, Daniel Lundh, Nuria Herrero","In 1921, nurse trainees from Madrid's upper class open a hospital in Melilla for Rif War soldiers, finding friendship and romance while saving lives.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ares,Netflix,US,TV-MA,2020-01-17,1,To Be Determined,5.6,3554,"Jade Olieberg, Tobias Kersloot, Lisa Smit, Frieda Barnhard, Hans Kesting, Rifka Lodeizen, Robin Boissevain, Jennifer Welts, Steef de Bot, Jip van den Dool, Janni Goslinga, Dennis Rudge, Ian Bok, Roos Dickmann, Minne Koole, Alexander Brouwer","Aiming to become part of Amsterdam's elite, an ambitious college student joins an exclusive society, unaware it's hiding a horrifying secret.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
La Viuda Negra,Univision,US,TV-14,2014-02-23,1,To Be Determined,7.2,158,"Ana Serradilla, Julián Román, Ramiro Meneses, Juan Pablo Gamboa, Eileen Moreno, Luis Alfredo Velasco, Margarita Reyes, Alexander Gil, Luis Roberto Guzmán, Raúl Méndez","Beautiful and ruthless Griselda Blanco, known as the queen of cocaine, becomes Pablo Escobar's boss and governs a world of deceit and death.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Healing Powers of Dude,Netflix,US,TV-G,2020-01-13,1,To Be Determined,6.4,557,"Jace Chapman, Larisa Oleynik, Tom Everett Scott, Steve Zahn, Mauricio Lara, Sophie Kim, Laurel Emory","When an 11-year-old boy with social anxiety disorder starts middle school, he finds strength in a scruffy emotional support dog named Dude.",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Sex Education,Netflix,UK,TV-MA,2019-01-11,1,Running,8.3,146377,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AJ and the Queen,Netflix,US,TV-14,2020-01-10,1,Ended,7.5,6172,"RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere","While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Medical Police,Netflix,US,TV-MA,2020-01-10,1,To Be Determined,5.9,3323,"Erinn Hayes, Rob Huebel, Malin Akerman, Rob Corddry, Lake Bell, Sarayu Blue, Ken Marino, Fred Melamed, Tom Wright, Jason Schwartzman, Eric Nenninger, Megan Le, Beth Dover, Zandy Hartig, Brian Huskey, Michael Cera",Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Save Me,Sky Go,US,TV-14,2018-02-28,1,To Be Determined,7.7,4052,"Taecyeon, Seo Ye-ji, Cho Seong-ha, Woo Do‑hwan, Son Byung-ho, Kim Kwang-gyoo, Yun Yoo-sun, Park Ji-young, Jeong Hae-gyoon, Jang Hyeok-jin",Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spinning Out,Netflix,US,TV-MA,2020-01-01,1,Ended,7.7,8927,"Kaya Scodelario, January Jones, Will Kemp, Willow Shields, Evan Roderick, David James Elliott, Sarah Wright Olsen, Svetlana Efremova, Amanda Zhou, Mitchell Edwards, Kaitlyn Leeb, Johnny Weir","A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Circle,Netflix,US,TV-MA,2020-01-01,1,Running,7.4,3352,Michelle Buteau,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tidying Up with Marie Kondo,Netflix,US,TV-PG,2019-01-01,1,Ended,6.6,2833,Marie Kondo,"In a series of inspiring home makeovers, world-renowned tidying expert Marie Kondo helps clients clear out the clutter – and choose joy.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ninja Turtles: The Next Mutation,FOX,US,TV-Y7-FV,1997-09-12,1,Ended,4.4,1314,"Jarred Blancard, Mitchell A. Lee Yuen, Dean Choe, Richard Yee, Gabe Khouth, Nicole Parker, Kirby Morrow, Matt Hill, Jason Gray-Stanford, Michael Dobson, Lalainia Lindbjerg, Shishir Inocalla, Fiona Scott, Stephen Mendel, Larry Lam, Geoff Wong",Everyone's favorite teenage mutants are back in live action to fight crime with help from a new ninja turtle – a female named Venus De Milo.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Valor,The CW,US,NR,2017-10-09,1,Ended,5.9,2817,"Christina Ochoa, Matt Barr, Corbin Reid, Charlie Barnett, W. Tré Davis","Following an unsuccessful mission in Somalia, the two surviving members of a U.S. Army helicopter crew are embroiled in an unseemly conspiracy.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Safe,Netflix,US,TV-MA,2018-05-10,1,Ended,7.3,29938,"Michael C. Hall, Amanda Abbington, Marc Warren, Hannah Arterton, Audrey Fleurot, Nigel Lindsay","After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Violet Evergarden,Tokyo MX,JP,TV-14,2018-01-10,1,Ended,8.4,10118,"Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Koki Uchiyama, Minori Chihara, Haruka Tomatsu","The war is over, and Violet Evergarden needs a job. Scarred and emotionless, she takes a job as a letter writer to understand herself and her past.",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Unsolved,BBC Three,GB,TV-MA,2016-07-25,1,To Be Determined,7.9,6129,"Josh Duhamel, Jimmi Simpson, Bokeem Woodbine",Ride along for a dramatized version of the real-life investigations into the murders of rap icons Tupac Shakur and Biggie Smalls.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Attack on Titan,NHK,JP,TV-MA,2013-04-07,1,Running,8.8,150483,"Yuki Kaji, Yui Ishikawa, Marina Inoue, Kisho Taniyama, Yu Shimamura, Yu Kobayashi, Shiori Mikami, Hiro Shimono, Ryota Osaka, Yoshimasa Hosoya, Tomohisa Hashizume, Saki Fujita, Hiroshi Kamiya, Daisuke Ono, Romi Park, Keiji Fujiwara, Kazuhiro Yamaji, Yusaku Yara","With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ugly Delicious,Netflix,US,TV-MA,2018-02-23,1,To Be Determined,7.8,2957,"David Chang, Peter Meehan","All the flavor. None of the BS. Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
One Strange Rock,National Geographic Channel,US,TV-PG,2018-03-26,1,Running,8.8,6352,Will Smith,"Hosted by Will Smith, this series follows eight astronauts who share their unique perspectives on Earth, the fragile and beautiful planet we call home.",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Altered Carbon,Netflix,US,TV-MA,2018-02-02,1,Ended,8.0,137915,"Joel Kinnaman, James Purefoy, Martha Higareda, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee, Kristin Lehman, Chris Conner, Ato Essandoh, Tamara Taylor, Byron Mann","After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
The Returned,A&E,US,TV-MA,2015-03-09,1,Ended,7.1,11373,"Anne Cosigny, Frédéric Pierrot, Clotilde Hesme, Céline Sallette, Samir Guesmi, Guillaume Gouix, Jean-Francois Sivadier, Alix Poisson, Jenna Thiam, Grégory Gadebois, Pierre Perrier, Yara Pilartz, Swann Nambotin, Ana Girardot, Brune Martin, Bertrand Constant, Matila Malliarakis, Constance Dollé, Laetitia de Fombelle, Simon Ehrlacher, Vincent Trouilleux, Jérôme Kircher, Guillaume Marquet, Alma Arnal, Julien Bourdel, François Briault, Gilles Chabrier, Aksel Ustun, Alain Blazquez","On returning home and finding they're believed to be dead, a collection of near-strangers from the same village try to find a reason for their plight.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Everything Sucks!,Netflix,US,TV-14,2018-02-16,1,Ended,7.5,14413,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Rio Mangini, Quinn Liebling, Sydney Sweeney, Elijah Stevenson, Zachary Ray Sherman, Abi Brittle","It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Umbrella Academy,Netflix,US,TV-14,2019-02-15,1,To Be Determined,8.0,143661,Unknown,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets – and a looming threat to humanity.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Dating Around,Netflix,US,TV-MA,2019-02-14,1,Running,6.3,986,Unknown,"In each episode of flirtations and fails, one real-life single navigates five blind dates. The mission: Find one match worthy of a second date.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Little Lunch,ABC ME,AU,Unknown,2014-07-20,1,To Be Determined,8.3,335,"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena","Adopting a child's perspective, this show takes a humorous look at what happens during those action-packed 15 minutes of snack time each day.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dogs of Berlin,Netflix,US,TV-MA,2018-12-07,1,Ended,7.5,9662,"Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler","Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Virgin River,Netflix,US,TV-14,2019-12-06,1,Running,7.5,11138,"Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole, Colin Lawrence, Jenny Cooper, Lauren Hammersley","Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what – and who – she finds.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Happy!,Syfy,US,TV-MA,2017-12-06,1,Ended,8.2,32198,"Christopher Meloni, Lili Mirojnick, Glenn Wein, Patrick Fischler, Toby Jaffe, Ritchie Coster, Grant Morrison, Pavun Shetty, Medina Senghore, Patton Oswalt",A boozy ex-cop turned hit man thinks he's losing his marbles when a cartoon unicorn only he can see urges him to rescue a girl kidnapped by Santa.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Home for Christmas,Netflix,US,TV-MA,2019-12-05,1,Running,7.6,5036,"Ida Elise Broch, Gabrielle Susanne Solheim Leithaug, Dennis Storhøi, Anette Hoff, Felix Sandman, Ghita Nørby, Hege Schøyen, Bjørn Skagestad, Mads Sjøgård Pettersen","Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Last O.G.,TBS,US,TV-MA,2018-04-03,1,To Be Determined,6.9,2793,"Tracy Morgan, Tiffany Haddish, Cedric the Entertainer, Allen Maldonado, Ryan Gaul, Taylor Mosby, Dante Hoagland, Joel Marsh Garland, Gino Vento, Derek Gaines, Daniel J. Watts, Malik Yoba, Edi Patterson","After 15 years behind bars, a kindhearted ex-drug dealer returns to Brooklyn looking for a fresh start, only to discover things have changed. A lot.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rebelde,Televisa,MX,TV-14,Oct/04/2004,1,Canceled/Ended,7.2,4908,"Anahí, Dulce María, Alfonso Herrera, Christopher Von Uckermann, Maite Perroni, Christian Chávez, Juan Ferrara, Ninel Conde, Leticia Perdigón, Enrique Rocha","Six students at an exclusive prep school, some on scholarship, discover that music can close the class divide.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Battle Creek,CBS,US,TV-14,2015-03-01,1,Ended,7.3,8115,"Josh Duhamel, Dean Winters, Aubrey Dollar, Edward Fordham Jr., Kal Penn, Janet McTeer, Liza Lapira, Damon Herriman, Meredith Eaton","A polished FBI agent must team up with a cynical cop when he's dispatched to Battle Creek, Michigan, to set up an office at the local precinct.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hashoter Hatov,Yes,IL,TV-MA,2015-08-15,1,Running,7.7,241,"Moshe Ivgy, Guy Loel, Yuval Semo, Yigal Adika, Avi Shnaidman, Vered Feldman, Liora Rivlin",An honest – though overzealous – police officer strives to do good work while dealing with his bickering parents and incompetent coworkers.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Selection Day,Netflix,US,TV-14,2018-12-28,1,Running,7.4,1761,"Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar, Karanvir Malhotra, Ratna Pathak Shah, Akshay Oberoi",Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
You,SHOWTIME,US,TV-MA,2015,1,In Development,7.8,133821,"Penn Badgley, Elizabeth Lail, Shay Mitchell, John Stamos, Luca Padovan, Zach Cherry","Obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life.",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Ezel,ATV,TR,TV-14,Sep/28/2009,1,Ended,8.6,25642,"Kenan İmirzalıoğlu, Cansu Dere, Haluk Bilginer, Yiğit Özşener, Barış Falay, Burçin Terzioğlu, Bade İşçil, Sarp Akkaya, İpek Bilgin, Salih Kalyon, Tuncel Kurtiz, Sedef Avcı, Berrak Tüzünataç, İsmail Filiz",A young man framed for a crime escapes a prison sentence by faking his own death and assuming a new identity as he seeks revenge.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Diablero,Netflix,US,TV-MA,2018-12-21,1,To Be Determined,6.6,2075,"Christopher Von Uckermann, Horacio García Rojas, Gisselle Kuri, Fátima Molina, Dolores Heredia, Humberto Busto, Quetzalli Cortés, Alexa Martin, Flavio Medina, Dulce Neri, Mariana Botas","When a young girl goes missing in a big city, a desperate priest joins a demon hunter and his motley crew on an otherworldly mission to find her.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Witcher,Netflix,US,TV-MA,2019-12-20,1,Running,8.2,278380,"Henry Cavill, Anya Chalotra, Freya Allan, Jodhi May, MyAnna Buring, Joey Batey, Eamon Farren, Mimi Ndiweni, Björn Hlynur Haraldsson, Adam Levy, Lars Mikkelsen, Royce Pierreson, Wilson Radjou-Pujalte, Anna Shaffer","Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Durarara!!,MBS,JP,TV-14,2010-01-08,1,Ended,7.9,6157,"Toshiyuki Toyonaga, Miyuki Sawashiro, Mamoru Miyano, Kana Hanazawa, Hiroshi Kamiya, Daisuke Ono, Jun Fukuyama, Yuichi Nakamura, Yuki Kaji, Ayahi Takagaki, Kazuma Horie, Sanae Kobayashi, Takaya Kuroda, Kari Wahlgren, Darrel Guilbeau, Bryce Papenbrook, Michelle Ruff, Johnny Yong Bosch, Crispin Freeman, Yuri Lowenthal, Steve Blum","A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Dance Academy,ABC ME,AU,TV-PG,2010-05-31,1,Ended,8.1,4175,"Xenia Goodwin, Alicia Banit, Dena Kaplan, Isabel Durant, Thom Green, Jordan Rodrigues, Thomas Lacey, Tim Pocock, Tara Morice",Fifteen-year-old Tara Webster's dream of dancing comes true when she gets into a top dance academy. She soon realizes dancing is only half the battle.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Nightflyers,Syfy,US,TV-MA,2018-12-02,1,Ended,5.9,11358,"Eoin Macken, David Ajala, Jodie Turner-Smith, Angus Sampson, Sam Strike, Maya Eshet, Brían F. O'Byrne, Gretchen Mol, Miranda Raison","With humankind's future at stake, a group of scientists and a powerful telepath venture into the void aboard a spaceship full of secrets.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Soundtrack,Netflix,US,TV-MA,2019-12-18,1,Ended,6.7,1614,"Paul James, Callie Hernandez, Marianne Jean-Baptiste, Jenna Dewan, Jahmil French, Megan Ferguson, Madeleine Stowe, Campbell Scott, Isaiah Givens","Love, loss and transformative luck intersect in this musical drama about two struggling artists experiencing life at full volume in Los Angeles.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Stoked,TeleToon,CA,TV-PG,Jun/25/2009,1,Canceled/Ended,6.3,1965,"Terry McGurrin, Katie Crown, Kristin Fairlie, Mazin Elsadig, Anastasia Phillips, Arnold Pinnock, Jamie Spilchuk, Lauren Lipson, Fiona Reid, Jeff Geddis",Six teenage groms come together one summer to share a dream: to work at the world-renowned Surfer's Paradise Resort on the legendary Sunset Island.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crash Landing on You,tvN,KR,TV-14,2019-12-14,1,Ended,8.7,9299,"Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun, Oh Man-seok, Kim Young-min, Kim Jung-nan, Kim Sun-young, Hwangwoo Seul-hye","A paragliding mishap drops a South Korean heiress in North Korea – and into the life of an army officer, who decides he will help her hide.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Girls und Panzer,Tokyo MX,JP,TV-14,2012-10-09,1,Ended,7.5,876,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda",Miho Nishizumi tries to escape her family's tradition of tankery by enrolling at a new high school. Instead she gets back into the sport with friends.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sym-Bionic Titan,Cartoon Network,US,TV-PG,2010-09-17,1,Ended,8.1,2215,"Tara Strong, Kevin Thoms, Brian Posehn, John DiMaggio, Tim Russ, Don Leslie, Kari Wahlgren","Aliens fleeing their planet land on Earth, pose as teenagers and fight off mutant space monsters by joining forces to become a powerful giant robot.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Fix,ABC,US,TV-MA,2019-03-18,1,Ended,6.5,2521,"Jimmy Carr, D.L. Hughley, Katherine Ryan","Comedians Jimmy Carr, D.L. Hughley and Katherine Ryan tackle the world's woes with help from a rotating crew of funny guests and an actual expert.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tidelands,Netflix,US,TV-MA,2018-12-14,1,Ended,7.0,6266,"Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden","Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Suits,USA Network,US,TV-14,2011-06-23,1,Ended,8.5,356091,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Bachelor,ABC,US,TV-14,2002-03-25,1,Running,3.2,6147,Unknown,A single man searches for his soulmate through a series of dates with 25 contestants ready to romance him for a chance at love.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
K,MBS,JP,TV-MA,Oct/05/2012,1,Returning Series,7.2,1810,"Daisuke Namikawa, Daisuke Ono, Mikako Komatsu, Kenjiro Tsuda, Tomokazu Sugita, Yui Horie, Takahiro Sakurai, Jun Fukuyama, Yuichi Nakamura, Miyuki Sawashiro, Mamoru Miyano, Satomi Sato, Yuki Kaji, Tetsuya Kakihara, Shozo Iizuka","A young boy is wanted for a crime he has no recollection of committing and must go on the run, hunted by two powerful kings and their forces.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Sintonia,Netflix,US,TV-MA,2019-08-09,1,Running,6.6,727,"Christian Malheiros, Jottapê, Bruna Mascarenhas","Three teens living in the same São Paulo favela pursue their dreams while maintaining their friendship, amid a world of music, drugs and religion.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
